% Model:              2D Model _ tu[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 21 2017, 02:48
% Table:              Table 2 - tu_r1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.22, acpr.p_t*2*pi*a (N)                g_center=0.24, acpr.p_t*2*pi*a (N)                g_center=0.26, acpr.p_t*2*pi*a (N)                g_center=0.28, acpr.p_t*2*pi*a (N)                g_center=0.3, acpr.p_t*2*pi*a (N)
435                                               7495.440679616866+15994.198160940032i             7496.27546908068+15992.614737616474i              7496.977381191016+15991.214395057981i             7497.549181969504+15989.566150937062i             7497.994040619946+15988.021995691206i
440                                               7657.167632975772+16130.45313095943i              7657.937356650359+16128.770823738038i             7658.567572314315+16127.280840286046i             7659.0616326525005+16125.54727184249i             7659.423355608875+16123.926540766885i
445                                               7820.216637062379+16265.165938736984i             7820.9130532508225+16263.386043518489i            7821.463502632698+16261.808423724146i             7821.87197615672+16259.992216832115i              7822.142994261038+16258.298259015555i
450                                               7984.567899627381+16398.32633956912i              7985.182630122416+16396.45074046482i              7985.645162029556+16394.788091548187i             7985.960177296255+16392.892544536164i             7986.132953449658+16391.129326556795i
455                                               8150.201460874646+16529.924604235304i             8150.726027568012+16527.955798119412i             8151.092448976615+16526.211350996637i             8151.30615163824+16524.240391884647i              8151.3732252987+16522.412510974726i
460                                               8317.097210241733+16659.95153330525i              8317.52307436127+16657.892652523853i              8317.785192426587+16656.070280688135i             8317.889789693929+16654.02848193941i              8317.843823405474+16652.141176364974i
465                                               8485.234904479876+16788.39847199796i              8485.553508472824+16786.25330503295i              8485.703174954055+16784.357541030033i             8485.690982221291+16782.25013159923i              8485.524810066354+16780.309288033957i
470                                               8654.59418739028+16915.257325535327i              8654.796999341848+16913.030335328916i             8654.826157368832+16911.066384602753i             8654.689646912559+16908.89925903513i              8654.396324724701+16906.911416712082i
475                                               8825.154611405833+17040.520574757844i             8825.233171974487+17038.21691449115i              8825.133905016757+17036.190666338447i             8824.865756621242+17033.970390697763i             8824.438613790475+17031.942742099105i
480                                               8996.895661329074+17164.181291840683i             8996.841633049147+17161.806817864148i             8996.6062159953+17159.72485326359i                8996.199369330634+17157.45866763508i              8995.63206199473+17155.39905552965i
485                                               9169.796780408835+17286.233155810318i             9169.601999255605+17283.794437484437i             9169.222951410526+17281.664033527788i             9168.670659977312+17279.359850887682i             9167.957225417453+17277.276761481553i
490                                               9343.837398941463+17406.67046756081i              9343.493928012002+17404.174793737446i             9342.964067846842+17402.00392444588i              9342.25995429468+17399.670325642204i              9341.394866229528+17397.572877647748i
495                                               9518.996965557311+17525.48816402051i              9518.497150679083+17522.9435459007i               9517.809652127738+17520.74087914721i              9516.947764662524+17518.387103792265i             9515.925989229347+17516.28503322565i
500                                               9695.254981277933+17642.681831090427i             9694.591508340658+17640.09700118979i              9693.739958370992+17637.871891514238i             9692.71482803005+17635.507824571603i              9691.531880126486+17633.41146508998i
