% Model:              ParameterStudy_2Array_bu_V2.mph
% Version:            COMSOL 5.2.0.166
% Date:               May 29 2017, 18:22
% Table:              Table 1 - bu_b (acpr.p_t*2*pi*r)
% freq (Hz)                                       g=0.02, acpr.p_t*2*pi*r (N)                       g=0.04, acpr.p_t*2*pi*r (N)                       g=0.06, acpr.p_t*2*pi*r (N)                       g=0.08, acpr.p_t*2*pi*r (N)                       g=0.1, acpr.p_t*2*pi*r (N)                        g=0.12, acpr.p_t*2*pi*r (N)                       g=0.14, acpr.p_t*2*pi*r (N)                       g=0.16, acpr.p_t*2*pi*r (N)                       g=0.18, acpr.p_t*2*pi*r (N)                       g=0.2, acpr.p_t*2*pi*r (N)
895                                               15079.138825953401+60684.842765933376i            15112.819406311306+60665.98331749299i             15143.05952569893+60650.99727454653i              15169.070248195869+60631.61007323754i             15191.018843633836+60611.70016176608i             15208.747770531963+60589.602648505715i            15222.327415294214+60565.69457876579i             15231.91842748489+60540.86047490488i              15237.907156320263+60518.39740907244i             15240.244637847063+60494.530190183206i
900                                               15258.097588304172+61011.823803924715i            15291.98788384958+60991.860276190826i             15322.285343038067+60975.83645098469i             15348.197519966856+60955.440506498424i            15369.909587538647+60934.59214222301i             15387.275217062364+60911.62823637558i             15400.381039510568+60886.93898809176i             15409.405751282146+60861.42271510527i             15414.758203392583+60838.40398170831i             15416.402045589028+60814.08546098075i
905                                               15438.33742778974+61338.43060393585i              15472.408148396149+61317.34160135663i             15502.731213276165+61300.263465646596i            15528.511309753281+61278.84728670295i             15549.952446567651+61257.05419667743i             15566.92030633841+61233.222822345815i             15579.518587996452+61207.756400803344i            15587.944825620409+61181.566815757214i            15592.631160799307+61158.00582430814i             15593.554423746504+61133.25346508168i
910                                               15619.859958603327+61664.652874107676i            15654.080780941053+61642.41784812633i             15684.396783974864+61624.26987359144i             15710.010457024613+61601.82310214724i             15731.145601328562+61579.080256597124i            15747.680728155497+61554.38166418653i             15759.737442533615+61528.14345485799i             15767.532917065753+61501.29081778918i             15771.523378312637+61477.202371574174i            15771.699402729537+61452.034988821295i
915                                               15802.666491930544+61990.48025992944i             15837.006098276372+61967.07955398721i             15867.281482747914+61947.8472560638i              15892.693630832953+61924.36070881897i             15913.487116439568+61900.664359079026i            15929.554115133555+61875.10015851057i             15941.034990158152+61848.096954457316i            15948.16736263015+61820.59294901274i              15951.432343057284+61795.993258152725i            15950.834817713856+61770.43102330148i
920                                               15986.758036843275+62315.90235973984i             16021.184156117157+62291.31725092935i             16051.384522588607+62270.98722937066i             16076.559337236979+62246.452935851616i            16096.97494996178+62221.80064877711i              16112.538053959835+62195.37383906447i             16123.408636041935+62167.6138646298i              16129.84558399902+62139.47161491333i              16132.355694790844+62114.378305590144i            16130.958724614215+62088.44274749906i
925                                               16172.13530208725+62640.90873939491i              16206.614752754584+62615.12147679447i             16236.704907382516+62593.68145267094i             16261.605926599594+62568.09268975668i             16281.606962377893+62542.4833784838i              16296.630095898265+62515.19837358765i             16306.855815296882+62486.69130427628i             16312.565100396003+62457.92538785892i             16314.291239518743+62432.35750765534i             16312.069414125377+62406.07150970838i
930                                               16358.798698599989+62965.48894604883i             16393.297433096996+62938.48278548332i             16423.241437424393+62915.921634693615i            16447.831600571615+62889.272957463036i            16467.38092490776+62862.70690845608i              16481.82776630414+62834.569559340074i             16491.374003487235+62805.326537855944i            16496.32353984727+62775.95299488807i              16497.236961237766+62749.93101424571i             16494.165423598057+62723.31880758121i
935                                               16546.74834257364+63289.632521063126i             16581.231492870436+63261.39175629838i             16610.992714784672+63237.699539384135i            16635.234418537366+63209.98680828827i             16654.294526994585+63182.46570459652i             16668.128572962265+63153.48331748022i             16676.960725674762+63123.516965914525i            16681.118648697055+63093.553304347166i            16681.19103161771+63067.099114118115i             16677.245546582035+63040.186267011675i
940                                               16735.98405892535+63613.32901200118i              16770.415982850354+63583.83900234614i             16799.957148326477+63559.00699063912i             16823.812303406925+63530.22739495281i             16842.345382729764+63501.75433575003i             16855.530013114112+63471.935686489975i            16863.613563816543+63441.26011462832i             16866.948299150168+63410.725311580245i            16866.15181746739+63383.86221674957i              16861.30883990546+63356.67562021497i
945                                               16926.50538500161+63936.567983773886i             16960.849712976527+63905.81517807596i             16990.13295823932+63879.83587620707i              17013.563046552677+63849.98795378437i             17031.531036199463+63820.56747006882i             17044.02957899129+63789.922814835816i             17051.330162391685+63758.55362467293i             17053.810494805988+63727.468123979146i            17052.117885888187+63700.22083359912i             17046.354628162124+63672.7886832566i
950                                               17118.311574381594+64259.339028978124i            17152.531256175364+64227.3109860491i              17181.51817994394+64200.178150902844i             17204.484311792214+64169.261804275106i            17221.848965466277+64138.89987098682i             17233.624761788877+64107.44095313397i             17240.108232173367+64075.39523964246i             17241.703374027617+64043.78094567264i             17239.088007032893+64016.17555908275i             17232.382505579088+63988.52733342255i
955                                               17311.40160064826+64581.63177748918i              17345.458951795892+64548.3171831044i              17374.110667255645+64520.02583921926i             17396.573638324666+64488.04234818718i             17413.29658523995+64456.746392660876i             17424.313053962735+64424.4864460342i              17429.9455520568+64391.78279428924i               17430.62521113433+64359.66306212043i              17427.061154436386+64331.72705159717i             17419.392335238164+64303.893486725436i
960                                               17505.774160999346+64903.43590541349i             17539.63090854805+64868.82458600094i              17567.908094745955+64839.37103763209i             17589.82844252198+64806.323068396785i             17605.871248116688+64774.101975377176i            17616.09194986018+64741.05572408244i              17620.839968958335+64707.7142028651i              17620.57441541587+64675.113824960725i             17616.036502938638+64646.87601488682i             17607.384245670783+64618.88907591762i
965                                               17701.427679612414+65224.74114348639i             17735.04500686837+65188.82407664758i              17762.90795919334+65158.20591662596i              17784.246018549948+65124.097527684724i            17799.570244368744+65090.961641020156i            17808.95894462907+65057.14529584301i              17812.78939576598+65023.187447873606i             17811.549527967414+64990.132637383285i            17806.013424243527+64961.6231801082i              17796.358624907076+64933.51602930282i
970                                               17898.360310680862+65545.537285046i               17931.698900644602+65508.30660713892i             17959.107580136868+65476.52272272356i             17979.823537815435+65441.359367681216i            17994.390800301342+65407.320488878955i            18002.911531470218+65372.751740522865i            18005.79180740486+65338.20056947175i              18003.54921647359+65304.71894033114i              17996.991480218498+65275.96928885543i             17986.316112091557+65247.7762507151i
975                                               18096.569941059355+65865.81419370673i             18129.590018276733+65827.26320475726i             18156.504099487418+65794.3137806765i              18176.55804723154+65758.10230818833i              18190.330075219055+65723.17369203064i             18197.947197296966+65687.87170134706i             18199.845235122513+65652.75165581661i             18196.572267989155+65618.87219981856i             18188.970414050713+65589.91507749975i             18177.257586829313+65561.67160094976i
980                                               18296.054192457665+66185.56181085014i             18328.715563057624+66145.6849770089i              18355.094480243537+66111.5714959926i              18374.446466366975+66074.32014708765i             18387.385157070687+66038.51649452178i             18394.063416874276+66002.50187995896i             18394.947759092945+65966.83883464249i             18390.617579925933+65932.59189565055i             18381.95013945345+65903.46126308227i              18369.184156417752+65875.20388091674i
985                                               18496.810423224168+66504.77016310782i             18529.072512875075+66463.56311695893i             18554.87550432726+66428.28835800593i              18573.48558354948+66390.00676102751i              18585.55305689073+66353.34420957265i              18591.257645612244+66316.63903205883i             18591.097499522657+66280.4602662511i              18585.684149382883+66245.87751177081i             18575.930728103627+66216.60853103457i             18562.097141248298+66188.37481681927i
990                                               18698.835729643342+66823.4293699149i              18730.657619335332+66780.88890898033i             18755.84376965677+66744.45694366259i              18773.672051038793+66705.15610710147i             18784.830702151077+66667.65221904105i             18789.527311145386+66630.27996450312i             18788.292606426596+66593.61413821764i             18781.771061057283+66558.72852849569i             18770.91239557074+66529.35752496828i              18755.99805859124+66501.18604756077i
995                                               18902.126946828364+67141.52965134504i             18933.467406261232+67097.65373506356i             18957.995686502654+67060.06992218345i             18975.002379392277+67019.76222568886i             18985.214929214373+66981.43597426242i             18988.869803909707+66943.42153406807i             18986.531248328647+66906.29866191285i             18978.877473982346+66871.1444168158i              18966.895485999103+66841.70883871848i             18950.888605071566+66813.63911459365i
1000                                              19106.680649248417+67459.0613362918i              19137.49816776793+67413.84908190742i              19161.327473337464+67375.12006076255i             19177.47293116546+67333.81924462084i              19186.702475064794+67294.69099852102i             19189.28246691539+67256.06064803975i              19185.811600077628+67218.51207115798i             19177.0026073642+67183.12463496199i               19163.880455815302+67153.66301083585i             19146.770638129543+67125.73545436081i
1005                                              19312.493150907005+67776.01487117526i             19342.745965935803+67729.46654880363i             19365.835152141448+67689.6002314672i              19381.07991418577+67647.32138484003i              19389.289968517387+67607.41289124424i             19390.76258500178+67568.19426679538i              19386.13183010693+67530.25262301143i              19376.145725774222+67494.66862735366i             19361.867856811667+67465.22052163158i             19343.646156845036+67437.476393496i
1010                                              19519.56050534909+68092.38082925534i              19549.206628268632+68044.49785649958i             19571.5145436062+68003.503419425i                 19585.819374514387+67960.262967629i               19592.973921173536+67919.59733407223i             19593.30737377611+67879.81940846366i              19587.490087399856+67841.51860089606i             19576.306124073668+67805.77582604365i             19560.858318899536+67776.38179290104i             19541.517282391113+67748.86314681638i
1015                                              19727.878505503886+68408.14992070223i             19756.87574503758+68358.93485722724i              19778.361262176062+68316.82273243617i             19791.68718941368+68272.63842357346i              19797.750718336763+68231.2400988646i              19796.913968574623+68190.93315580202i             19789.884488445085+68152.30832009582i             19777.483112334452+68116.44565473162i             19760.85253289782+68087.14719037082i              19740.386238560845+68059.89681820798i
1020                                              19937.442683527875+68723.3130034662i              19965.748666704738+68672.7695458427i              19986.370711236545+68629.55141208527i             19998.679060465136+68584.44230327218i             20003.61661018656+68542.33705775133i              20001.57941369457+68501.53266526632i              19993.313104540404+68462.62013568747i             19979.67600112062+68426.6775353735i               19961.8512336873+68397.51702889087i               19940.255332671877+68370.57840436965i
1025                                              20148.24831083117+69037.86109506642i              20175.820501589445+68985.99407222391i             20195.53807869477+68941.68284636053i              20206.790507154623+68895.66928987214i             20210.567703469264+68852.88419520878i             20207.30065222238+68811.61517837628i              20197.773949711227+68772.45245291383i             20182.884087464477+68736.4708973752i              20163.85518411786+68707.49158033302i              20141.12693721538+68680.90880140061i
1030                                              20360.29039833447+69351.7853853694i               20387.08611398499+69298.60075498969i              20405.858333064527+69253.21058393501i             20416.016861154276+69206.31421344192i             20418.599953989044+69162.87762221291i             20414.074516761808+69121.17803529002i             20403.26496966595+69081.80373992691i              20387.106641872153+69045.82518932172i             20366.865159965226+69017.07108416312i             20343.0034726597+68990.88881414084i
1035                                              20573.563697228517+69665.07725035783i             20599.540122914088+69610.58209652304i             20617.32622045653+69564.12834993965i              20626.353261556265+69516.37206715609i             20627.7091601982+69472.31359237793i               20621.897721368132+69430.2186905838i              20609.78403194389+69390.67254289397i              20592.342896704162+69354.73989314932i             20570.881936346388+69326.25576054624i             20545.887391697048+69300.51916814853i
1040                                              20788.062700332186+69977.7282668777i              20813.176901739815+69921.93079929125i             20829.936262546504+69874.43006338218i             20837.794651365984+69825.83802525152i             20837.890958193842+69781.18852006418i             20830.76685498994+69738.7347311008i               20817.328917808383+69699.05750329734i             20798.5920362674+69663.2145406427i                20775.90627588818+69635.04582585998i              20749.78116530177+69609.80052414328i
1045                                              21003.781644303883+70289.73022863679i             21027.990578855504+70232.63978350037i             21043.682755895035+70184.10985599403i             21050.335775477455+70134.70746266205i             21049.140818353662+70089.49900031896i             21040.678376742013+70046.72389578988i             21025.89731596318+70006.95737727702i              21005.853188903762+69971.24873207156i             20981.93891897385+69943.44151041462i              20954.687270937386+69918.73349472914i
