% Model:              2D Model _ r1u[ParameterStudy].mph
% Version:            COMSOL 5.2.0.166
% Date:               Apr 16 2017, 08:14
% Table:              Table 2 - r1u_g1 (acpr.p_t*2*pi*a)
% freq (Hz)                                       g_center=0.02, acpr.p_t*2*pi*a (N)                g_center=0.04, acpr.p_t*2*pi*a (N)                g_center=0.06, acpr.p_t*2*pi*a (N)                g_center=0.08, acpr.p_t*2*pi*a (N)                g_center=0.1, acpr.p_t*2*pi*a (N)                 g_center=0.12, acpr.p_t*2*pi*a (N)                g_center=0.14, acpr.p_t*2*pi*a (N)                g_center=0.16, acpr.p_t*2*pi*a (N)                g_center=0.18, acpr.p_t*2*pi*a (N)                g_center=0.2, acpr.p_t*2*pi*a (N)
330                                               8783.443550563203+22907.62482694093i              8784.91374667735+22910.15004737609i               8786.438363117722+22912.53237493049i              8788.010938845715+22914.79340304886i              8789.625147154475+22916.88290093926i              8791.27451830715+22918.811563400697i              8792.95455504173+22920.666879144446i              8794.658420580148+22922.321804421197i             8796.381054733498+22923.84997341426i              8798.117810063515+22925.269175018824i
335                                               9029.686430659765+23183.346203288762i             9031.312724522271+23185.926606482128i             9032.992742616429+23188.353916221153i             9034.719531194982+23190.650348701798i             9036.48628230621+23192.76502284805i               9038.286054263752+23194.70909691691i              9040.114004696405+23196.571849887387i             9041.962812021948+23198.2242816952i               9043.827064364616+23199.741625740473i             9045.701787254971+23201.14226576821i
340                                               9278.547274545126+23456.248769144535i             9280.338072533335+23458.878968822366i             9282.18141573541+23461.34537977067i               9284.069834448794+23463.67088051145i              9285.996016883028+23465.803969180008i             9287.952530086903+23467.75630804156i              9289.934173689877+23469.619013045634i             9291.933122284592+23471.261150879538i             9293.943603011669+23472.759603027363i             9295.960305708708+23474.133387506132i
345                                               9529.989416255768+23726.309195144382i             9531.953110995351+23728.98319026059i              9533.967641574518+23731.482210675502i             9536.024999501164+23733.82984014607i              9538.11734701696+23735.973988568963i              9540.23674146547+23737.92686601696i               9542.377612678903+23739.781475343945i             9544.531613375042+23741.404975771784i             9546.692601980985+23742.875948904126i             9548.85492556374+23744.21408922956i
350                                               9783.975868196274+23993.50470035299i              9786.120805231169+23996.21585850501i              9788.314289413682+23998.74037220977i              9790.547751283064+24001.102576859666i             9792.812805650581+24003.24982981667i              9795.100982798738+24005.19493617199i              9797.406332328328+24007.032838918814i             9799.719968186064+24008.62881840411i              9802.035374230178+24010.06321160887i              9804.346549475056+24011.356434542213i
355                                               10040.469347632803+24257.813078455885i            10042.803790294793+24260.55412046715i             10045.183861784017+24263.09637453425i             10047.60041034272+24265.46497772825i              10050.044482781437+24267.606773856674i            10052.507066308606+24269.535213731746i            10054.98182145579+24271.347237137106i             10057.459307936475+24272.90627701824i             10059.932631317852+24274.294484243266i            10062.395439352902+24275.53304428332i
360                                               10299.432306980969+24519.212719884996i            10301.96439946523+24521.975705694516i             10304.538521285429+24524.527299621917i            10307.144918169814+24526.893494223623i            10309.77404947419+24529.020662130635i             10312.416344945219+24530.92295417375i             10315.065069062088+24532.6993670619i              10317.710213535689+24534.21152073725i             10320.34450435265+24535.5434417783i               10322.961237142998+24536.71713595453i
365                                               10560.82696724991+24777.682629388582i             10563.564695871408+24780.458945393057i            10566.340120553858+24783.010821894637i            10569.142865667556+24785.365164631265i            10571.96278505537+24787.467920948107i             10574.789738491932+24789.333999655235i            10577.616589587473+24791.064518067316i            10580.432750251153+24792.519320511787i            10583.23056832227+24793.78437441135i              10586.002989116869+24794.882559569764i
370                                               10824.61535399511+25033.202438669938i             10827.566506572732+25035.982786640754i            10830.55023468083+25038.525224198624i             10833.555524113519+25040.85763194956i             10836.571606803389+25042.925581434843i            10839.58776224462+25044.744801154742i             10842.596450812682+25046.418596297943i            10845.586495074318+25047.805075984106i            10848.54986923426+25048.992216915707i             10851.479173041158+25050.003829553705i
375                                               11090.759335005654+25285.75241374593i             11093.931458431829+25288.526801519525i            11097.130195411173+25291.04940884309i             11100.343877900743+25293.34915698315i             11103.561101478754+25295.37129483463i             11106.770557553371+25297.13243609706i             11109.96430367914+25298.738144725914i             11113.130566124923+25300.0448380484i              11116.260953341267+25301.142573781824i            11119.347727568362+25302.056152497356i
